l1,CD4,IL7R,LEF1,CCR7,CD40LG,LTB,CD8A,GZMK,GZMB,GZMA,NCR3,KLRB1,KLRF1,CD96,ZNF683,IL17RB,TGFBR3,GATA3,CD3E,CD3G,CTLA4,ID3,NMB,MKI67,TOP2A,RRM2,TK1,STMN1,MS4A1,CD79A,CD79B,PAX5,BANK1,TNFRSF13C,EBF1,JCHAIN,MZB1,DERL3,TXNDC5,TNFRSF13B,LYZ,CSF1R,LRMDA,F13A1,S100A12,FLT3,FCER1A,CD1C,BATF3,IL3RA,ZNF366,S100A8,SERPINA1,CSF3R,IL1R2,SRGN,IL5RA,CA8,DACH1,PADI3,TGM2,CD34,KIT,ZNF521,CD109,DNTT,TFPI
CD4 T cell,0.6858499,2.3144321,2.041145,0.7206935,0.34509128,2.4849806,0.022892084,0.06884158,0.01805973,0.00239872,0.011676356,0.019517746,0.0015981533,0.17715552,0.047386236,0.024947552,0.11409211,0.53774774,2.1992657,1.1244156,0.5008533,0.098976225,0.1030928,0.009737576,0.0140289785,0.0044062007,0.014213854,0.95363414,0.0040554875,4.4484572,0.00020290971,0.0049827592,0.025774943,0.021330401,0.005968415,0.018044524,0.004321066,0.008249418,0.04876157,0.0071346895,0.1973181,0.0046324683,0.05645419,0.0095330775,0.039957404,0.004919485,0.00061542954,0.0019130082,0.006013347,0.02010422,0.00077295204,2.0931096,0.0155822765,0.0009590713,0.0061865686,0.528133,0.0010965011,0.001318963,0.002703562,0.017002866,0.0013391112,0.00016858215,0.00082048716,0.00019627054,0.0039001217,0.027692461,0.0019598245
CD8/NK cell,0.045154527,0.75863194,0.843651,0.25047228,0.036910042,1.1925824,0.69138426,0.911234,1.7405864,1.1486467,1.3686067,1.4412405,0.025637489,1.1416774,0.11228613,0.006263207,0.18260513,0.25412259,2.1025307,1.1698678,0.10210352,0.02585135,0.027393952,0.0063487343,0.0062056216,0.0062611243,0.012752957,0.70228434,0.0019408074,4.340779,0.00014720307,0.0056470158,0.08005157,0.04014711,0.008237653,0.017130641,0.00637828,0.004781642,0.03682146,0.01034361,0.19344316,0.004261526,0.06496772,0.010312616,0.033476118,0.004523395,0.00095669704,0.001004549,0.0034486891,0.02724494,0.00074746873,2.368224,0.016305886,0.0012407236,0.0029976084,0.40124556,0.0013876746,0.0014346077,0.011716545,0.01807744,0.022776356,0.0,0.006848183,0.00046982156,0.0023141087,0.009842789,0.001919221
gd T cell,0.029382907,1.4827834,0.6402431,0.016918432,0.21269803,1.0205736,0.02608362,0.002611134,0.01232083,0.0,0.0063091055,0.038026497,0.0,0.026940623,0.32003838,1.1165363,0.5409755,1.8384776,1.9560444,0.97991365,0.038917635,0.15893434,0.10835566,0.0012397425,0.0028715713,0.008382309,0.005849722,0.48285627,0.020144109,3.931122,0.002075765,0.0,0.039436158,0.018900229,0.005100869,0.020315118,0.0017742326,0.015316503,0.05515803,0.0140180765,0.20499264,0.003545586,0.07121528,0.009050389,0.048276354,0.004205248,0.04969254,0.0,0.017156944,0.012925622,0.0,2.0386903,0.010820987,0.0039766734,0.009199789,1.093688,0.0013680381,0.0022862137,0.07801172,0.026589325,0.0,0.0,0.02714854,0.012119798,0.005390714,0.0,0.047405586
DN T cell,0.021866515,0.7811928,2.3212225,0.9552615,0.0048243143,2.1619608,0.053958114,1.0712558,0.031692866,0.0,0.0035366302,0.011158748,0.0015535362,0.14296038,0.0012251056,0.01275987,0.3293799,0.16786653,2.191925,0.93883675,1.2918699,0.4265155,0.81747097,0.009210171,0.0077250144,0.0074826996,0.008277566,0.7238917,0.0023471178,4.2666235,0.0,0.0062040943,0.022405531,0.020383613,0.004468545,0.018860139,0.0036315254,0.0016210579,0.03220199,0.008158949,0.23273963,0.0049248575,0.0591081,0.011940867,0.03432662,0.004961868,0.0,0.0,0.0014857246,0.030404648,0.0,2.0540411,0.018830977,0.0,0.0033480371,0.62931865,0.0,0.0019069683,0.0042765723,0.024388066,0.00297705,0.0,0.0,0.0,0.004218435,0.004077552,0.001306192
Cycling T cell,0.3623527,0.5633866,0.31974962,0.060754295,0.119374074,1.1519954,0.29960448,0.68805933,1.0078628,0.4406571,0.4041597,0.4681565,0.0055745733,0.47545058,0.058602825,0.010869016,0.18862402,0.5694353,2.2023563,1.2609062,0.75175184,0.02636132,0.043006048,1.3556045,0.96602726,1.0404029,0.9420127,3.0925488,0.0029282495,3.9836688,0.0,0.007011647,0.070418455,0.033548344,0.008311083,0.014720884,0.006279467,0.040148772,0.092960946,0.0022869338,0.1734373,0.0029641339,0.044685625,0.011258338,0.03636356,0.0054752887,0.0,0.01646472,0.011562314,0.02904333,0.0,3.3475487,0.015670663,0.0057491567,0.0,0.5671432,0.0,0.0022526383,0.0,0.043340944,0.0124074435,0.0,0.0,0.0029538863,0.03404226,0.0,0.0038123373
B cell,0.008635975,0.016916249,0.030653242,0.4146928,0.006996155,2.278883,0.0030723254,0.004228354,0.009985153,0.002133145,0.011022881,0.005164551,0.0048575713,0.0033385141,0.0008393915,0.026586324,0.023626665,0.0038298192,0.02419783,0.019919131,0.0060656616,0.5700166,0.0038818053,0.005980972,0.0074524824,0.012818057,0.009239189,1.5514892,0.93004584,4.149246,0.16054505,1.4982605,2.280855,1.78326,1.266691,0.14229244,0.013532715,0.053172216,0.018833289,0.109234855,1.8174516,0.0038192787,0.22808257,0.0153224915,0.03087973,0.019658113,0.0009290228,0.024953937,0.006287048,0.006544502,0.0010096688,0.14681,0.01298033,0.0014567486,0.0020660223,0.016661514,0.003910144,0.00057953584,0.016993823,0.03337245,0.016501015,0.016876705,0.0006221906,0.0004169216,0.0027786328,0.0076077785,0.0053838165
Plasma cell,0.03242934,0.056963883,0.054574087,0.009911978,0.005245823,0.27699688,0.0019216251,0.0096788565,0.021309007,0.0011350479,0.009469445,0.0062647993,0.0014369572,0.005360292,0.0012664385,0.014337787,0.00842978,0.018118424,0.050589234,0.03590971,0.19645953,0.01961848,0.010792146,0.640201,0.13796887,0.15628342,0.1714639,1.3563616,0.37767974,3.9325972,0.042911734,0.015518592,0.1542824,0.38998774,0.099304795,2.835013,2.4018629,0.9733093,1.9241203,0.77919996,0.21208969,0.006006981,0.073924884,0.00582419,0.073208205,0.081566155,0.0,0.021665758,0.0077811335,0.009699935,0.0,0.22484125,0.028219197,0.0021014242,0.006520274,0.026633382,0.007147143,0.0043537538,0.0063566244,0.029605173,0.018859709,0.0,0.0,0.007201536,0.0015124521,0.0052123233,0.00081276725
Monocyte,0.33153102,0.018081179,0.015513073,0.0035691974,0.0038245723,0.03603728,0.0014987313,0.0033463377,0.007854761,0.0018712248,0.0051521673,0.0035846054,0.00023649172,0.0024541786,0.00034767378,0.026802912,0.003270574,0.0037467286,0.0191884,0.01358934,0.0030656338,0.0031414437,0.00618224,0.006773855,0.0084473295,0.011050835,0.006435797,0.09738714,0.0013451664,3.3509905,9.034186e-05,0.0042246697,1.4999211,0.060896173,0.017294012,0.014213943,0.0040118117,0.0012183947,0.0227245,0.0043832855,5.213516,1.1158941,2.8499694,1.172943,0.8539607,0.1709755,0.03507972,0.120864585,0.28285092,0.009328774,0.03559728,3.1654978,2.0584729,0.19887878,0.11839014,1.514935,0.004131029,0.0018029405,0.04652718,1.0109949,0.002938205,0.00024693017,0.0092743235,0.0009280194,0.016099889,0.00013497214,0.0023644532
DC,0.023434212,0.5394991,0.0248091,0.05210428,0.003338759,0.93739945,0.013148612,0.009946053,0.013168662,0.005645239,0.008624213,0.012135985,0.0016121877,0.042713672,0.0029644035,0.04858879,0.00567673,0.0059103295,0.038888745,0.009832177,0.009640896,0.04251335,0.008901304,0.016537972,0.009415008,0.013736415,0.0283195,0.25065342,0.003455681,3.440247,0.0008104834,0.0096916165,0.091216095,0.19584279,0.008543227,0.025949473,0.03191223,0.19646077,0.13224456,0.019428816,1.343739,0.07168543,1.1554497,0.037567355,0.07675752,1.4784114,0.9659759,0.13738878,0.3198325,0.18525694,0.4505417,1.1993642,0.048317127,0.00488396,0.009904675,0.14324504,0.008548091,0.034458615,0.021509958,0.06413381,0.045681667,0.0,0.2728601,0.07591623,0.075325705,0.23013413,0.0036804609
Neutrophil,3.1426547,0.017829588,0.01954191,0.00456209,0.013836778,0.4273946,0.010947652,0.0045962185,0.011038613,0.0037099812,0.0070554935,0.0049072867,0.0,0.0041491715,0.0010194508,0.005166833,0.0019048795,0.0041891793,0.021972243,0.0028693366,0.0045718793,0.0042551253,0.002593231,0.013354522,0.0036391926,0.007305532,0.003445973,0.023858331,0.0015262133,0.73655355,0.0,0.008057255,0.039225064,0.013055631,0.009402726,0.006438195,0.0078232065,0.000980788,0.008189552,0.0067842505,2.3269086,0.13203612,0.37469244,0.11777257,5.031112,0.0063033514,0.0022039616,0.0010239064,0.01723005,0.0033520525,0.0011149764,5.493945,3.5482006,0.66843694,1.4150481,3.0128036,0.14494322,0.016764725,0.18521288,2.4818184,0.006879816,0.00027761466,0.0,0.00047138295,0.003714614,0.00057869666,0.0026296445
